Company,Region,City,Founded,Employees,Revenue_funding,Web,Email,Genres,Sample_games,Internship,Remote,Ownership,Notes
Assemble Entertainment,Publishers / platforms,Mainz (Germany),2016,small/medium,indie publishing,https://www.assemble-entertainment.com,info@assemble-entertainment.com (general); press@assemble-entertainment.com (press),publish,Farm Manager; Construction Simulator publishing eras; Assemble German sims; indie publishing; German indie publishing; various sim/indie,unknown,office,independent,German sim/indie publisher.
Atlus USA,Publishers / platforms,"Irvine, CA (USA)",1991,~50-100,Persona western publishing,https://atlus.com,press@atlus.com (press),publish,Atlus west publishing; Persona; SMT west,unknown,office,Sega / Atlus,Atlus western publishing branch.
Badland Games / BadLand Publishing,Publishers / platforms,Spain / EU,2014,small/medium,publish,https://badlandgames.com,press@badlandgames.com (press),publish,The Shapeshifting Detective; BadLand indie slate; European publishing; curated indies; European indie publishing; various indie/AA,unknown,hybrid,independent,Iber/EU publishing.
Bandai Namco Entertainment Europe,Publishers / platforms,Lyon (France),—,Bandai Namco internal,European publisher,https://www.bandainamcoent.com,press@bandainamcoent.com (press),publish,Tekken; Dark Souls; Elden Ring EU publishing; Bandai Namco Europe; BNE Europe publishing; European BNE portfolio,unknown,office,Bandai Namco,BNE European publishing arm for Tekken/Soulsborne and more.
Capcom Europe,Publishers / platforms,London (UK),—,in Capcom,European publisher,https://www.capcom-europe.com,press@capcom.com (press),publish,Resident Evil; Monster Hunter; Street Fighter EU; Capcom Europe publishing; Capcom European portfolio,unknown,office,Capcom,Capcom's European publishing and marketing organization.
Capcom USA,Publishers / platforms,"San Francisco, CA (USA)",—,in Capcom,western publishing,https://www.capcomusa.com,press@capcom.com (press),publish,Capcom America publishing; RE; MH; Street Fighter west,unknown,office,Capcom,Capcom America.
Chucklefish,Publishers / platforms,London (UK),2011,~50–100,publishing + development,https://chucklefish.org,press@chucklefish.org (press),indie publishing / development,Wargroove; Eastward; Stardew Valley (hist. publish); Stardew (hist. publish); Stardew Valley (early release),unknown,hybrid,independent,Early Stardew publisher.
Coffee Stain Publishing,Publishers / platforms,Skövde (Sweden),2017,Coffee Stain group,indie-AA publishing,https://coffeestain.com/publishing,press@coffeestainstudios.com (press),publish,Valheim; Deep Rock Galactic; Satisfactory; Goat Simulator,unknown,mixed,Embracer / Coffee Stain,Publishing arm of Satisfactory studio.
Crytivo,Publishers / platforms,USA / global,2016,~20-40,indie publishing,https://crytivo.com,support@crytivo.com (support),publishing / sim,The Planet Crafter publishing; Crytivo indie publishing; simulation slate; Crytivo catalog; The Planet Crafter; sim,unknown,hybrid,independent,Sim/indie publishing.
Curve Games,Publishers / platforms,London (UK),2005,~50–100,indie-AA publishing,https://www.curvegames.com,press@curvegames.com (press),publish,Human: Fall Flat; PowerWash Simulator (hist.); Human Fall Flat; For the King,unknown,hybrid,independent,British indie publishing.
Dangen Entertainment,Publishers / platforms,Tokyo / global,2016,small,indie publishing,https://dangenentertainment.com,unknown,indie publishing,The Messenger; Gato Roboto; Dangen Japanese indie west; boutique publishing; Japanese indie west publishing; various Japanese/indie,unknown,hybrid,independent,Japan-focused indie publishing.
Dear Villagers,Publishers / platforms,Montpellier (France),2012,~50-100,indie publishing,https://www.dearvillagers.com,press@dearvillagers.com (press),indie publishing,Haven; Sable; Dear Villagers slate; French indie publishing; various European indie,unknown,office,Plug In Digital,French indie publishing.
Deep Silver,Publishers / platforms,Munich / Planegg (Germany),2002,inside Plaion,AA/AAA publisher,https://www.deepsilver.com,press@deepsilver.com (press),publish,Dead Island 2; Saints Row; Metro Exodus; Dead Island; Saints Row (historical); Metro (publishing periods); Saints Row (tarihsel),unknown,office,Embracer / Plaion,Plaion publishing label.
Devolver Digital,Publishers / platforms,"Austin, TX (USA)",2009,~100–200,indie publishing hits,https://www.devolverdigital.com,press@devolverdigital.com (press),indie publishing,Hotline Miami; Cult of the Lamb; Inscryption; Carrion; Katana ZERO; Enter the Gungeon; Loop Hero,unknown,remote-friendly culture,public (UK/US),Indie publisher famed for marketing voice and curated weirdness.
Digerati,Publishers / platforms,Sheffield (UK),2016,small,indie publishing,https://digerati.online,unknown,publish,Digerati indie publishing; curated boutique releases; multi-platform indies; Digerati catalog; various niche indie,unknown,hybrid,independent,Niche indie publishing.
Epic Games Publishing,Publishers / platforms,"Cary, NC (USA)",2019,Inside Epic,third party funding/publishing,https://www.epicgames.com,press@epicgames.com (press),publish,Alan Wake 2; Fall Guys; Kid A Mnesia; Fall Guys (historical operation); Fall Guys (tarihsel operasyon),unknown,mixed,Epic Games,UE + store strategy publishing.
Fangamer,Publishers / platforms,"Tucson, AZ (USA)",2007,~50-100,merch + publishing,https://www.fangamer.com,press@fangamer.com (press),merch; niche publishing,Undertale; Deltarune; Fangamer specialty publishing; indie physical/merch; Undertale/Deltarune merch; various publishing,unknown,office,independent,Indie merch + publishing.
Fellow Traveller,Publishers / platforms,Melbourne (Australia),2011 (Ghostpatch legacy),small/medium,curated publishing,https://fellowtraveller.games,press@fellowtraveller.games (press),indie publishing,indie narrative publishing slate; Paradise Killer; Hacknet; The Forgotten City,unknown,remote,independent,Narrative/indie curator.
Fig,Publishers / platforms,"San Francisco, CA (USA)",2015,closed,crowdfunding publication,https://www.fig.co,unknown,crowdfunding,crowdfunding / publishing experiments; Psychonauts 2 funding; Psychonauts 2 fonlama,-,-,closed,Historical crowdfunding publishing.
Finji,Publishers / platforms,"Grand Rapids, MI (USA)",2006,small,curated publishing,https://finji.co,hello@finji.co (general),indie publishing,Tunic; Chicory; Overland; Tunic DLC; Wilmot's Warehouse,unknown,remote,independent,Prestige small publishing.
Fireshine Games,Publishers / platforms,Brighton (UK),2020,~50-100,publish,https://fireshinegames.co.uk,press@fireshinegames.co.uk (press),publish,Hard West 2; Fireshine AA/indie; UK publishing; Sold Out lineage; AA/indie publishing UK; various indie-AA,unknown,hybrid,independent,British publishing.
Freedom Games,Publishers / platforms,USA,2020,small/medium,indie-AA publishing,https://freedomgames.com,unknown,publish,Coral Island; Freedom Games cozy/sim; indie publishing; multi-platform,unknown,hybrid,independent,US publisher.
Frontier Foundry,Publishers / platforms,Cambridge (UK),2019,Inside Frontier,indie-AA publishing,https://www.frontierfoundry.com,contact@frontierfoundry.com (general),publish,Jurassic World Evolution publishing adjacent; Frontier Foundry label; Elite Dangerous ecosystem; sim/indie; Frontier publishing label; various sim/indie,unknown,hybrid,Frontier Developments,Frontier publishing branch.
Gamigo,Publishers / platforms,Hamburg (Germany),2000,~200-400,MMO publishing,https://www.gamigo.com,press@gamigo.com (press),MMO publishing,Trove; ArcheAge publishing eras; Gamigo MMO; free-to-play catalog; various MMO,unknown,office,Heroes / special,German MMO publisher.
GOG.com (CD PROJEKT),Publishers / platforms,Warsaw (Poland),2008,Inside CDPR,DRM-free store,https://www.gog.com,support@gog.com (support),digital store,GOG Galaxy; DRM-free classics; Witcher trilogy storefront; classic + new DRM-free; klasik + yeni DRM-free,—,—,CD PROJEKT,DRM-free PC storefront sibling to CD PROJEKT RED.
Good Shepherd Entertainment,Publishers / platforms,Amsterdam (Netherlands),2011,small/medium,indie publishing,https://goodshepherd.games,info@goodshepherd.games (general); press@goodshepherd.games (press),indie publishing,indie publishing; Slay the Spire (early); Monster Train; Slay the Spire (erken),unknown,hybrid,independent,Strategy/roguelike publishing.
H2 Interactive,Publishers / platforms,Seoul (South Korea),2013,~50-100,KR/ASIA publishing,https://www.h2.co.kr,unknown,publish,Black Desert KR west eras; H2 Interactive PC; Korean publishing; Seoul/west slate; KR west publishing; various PC/console KR,unknown,office,independent,Korea regional publishing.
Headup Games,Publishers / platforms,Düren (Germany),2009,small/medium,indie publishing,https://headupgames.com,info@headupgames.com (general); press@headupgames.com (press),publish,The Inner World; Headup German indie; boutique publishing; Cologne slate; German indie publishing; various German/indie,unknown,office,independent,German indie publishing.
Hooded Horse,Publishers / platforms,global,2020,small,strategy publishing,https://hoodedhorse.com,press@hoodedhorse.com (press),strategy publishing,Against the Storm; Manor Lords (publish); Songs of Conquest; Manor Lords,unknown,remote,independent,Strategy curator publishing.
Humble Games,Publishers / platforms,"San Francisco, CA (USA)",—,small,Humble Bundle ecosystem,https://humblegames.com,press@humblegames.com (press),indie publishing,Slay the Spire; A Short Hike; Humble Games indie; curated digital publishing; indie publishing slate; various indie titles,unknown,remote possibility,Iginternet / private,Indie publishing label born from the Humble Bundle ecosystem.
iam8bit,Publishers / platforms,"Los Angeles, CA (USA)",2005,small/medium,vinyl / special edition,https://iam8bit.com,unknown,special edition; music,specialty physical / soundtrack publishing; game soundtrack + collection; oyun soundtrack + koleksiyon,unknown,office,independent,Game culture special edition.
Iceberg Interactive,Publishers / platforms,Haarlem (Netherlands),2009,small/medium,indie publishing,https://iceberg-games.com,info@iceberg-games.com (general); press@iceberg-games.com (press),indie publishing,Gas Guzzlers Extreme; Iceberg strategy/indie; European publishing; Netherlands slate; European indie/AA publishing; various strategy/indie,unknown,hybrid,independent,Netherlands indie publishing.
Idea Factory International,Publishers / platforms,California (USA),2013,~30-60,western publishing,https://ifi.games,press@ideafintl.com (press),publish,Otomate / Idea Factory west; Neptunia west; various JRPG,unknown,office,Idea Factory,IF western publishing.
itch.io,Publishers / platforms,global (US registration),2013,small team,open marketplace,https://itch.io,support@itch.io (support),digital store / indie,Celeste (storefront); Hollow Knight (storefront); thousands of indie SKUs; itch.io platform; indie digital storefront; hundreds of thousands of indie titles,—,remote,independent,Creator-first indie digital storefront and open marketplace.
Kepler Interactive,Publishers / platforms,London / Paris,2022,small/medium,indie-AA publishing collective,https://kepler-interactive.com,press@keplerians.com (press),publish,AA multi-studio collective publishing; Clair Obscur; Sifu (not related to Sloclap — portfolio),unknown,mixed,private (netease investment periodic),European publishing collective.
Koch Media,Publishers / platforms,Planegg (Germany),1994,Rebranded as Plaion,publishing; distribution,https://www.plaion.com,press@plaion.com (press),publish,Plaion legacy brand; European distribution; Deep Silver label; Deep Silver etiketi,unknown,office,Embracer,Historical name; Plaion sequel.
Konami Digital Entertainment US,Publishers / platforms,USA,—,inside Konami,western publishing,https://www.konami.com,press@konami.com (press),publish,Konami west publishing; eFootball; Silent Hill west,unknown,office,Konami,Konami western operation.
Limited Run Games,Publishers / platforms,"Apex, NC (USA)",2015,~100+,physical special edition,https://limitedrungames.com,press@limitedrungames.com (press),physical release,Bloodborne physical; classic re-releases; Limited Run specialty; collector editions; physical specialty releases; multiple special edition,unknown,office,independent,Physical collection publisher.
Maximum Entertainment,Publishers / platforms,global,2022,~200+,AA publisher,https://www.maximument.com,press@maximument.com (press),publish,AA publishing consolidation; Modus portfolio; various AA,unknown,mixed,private,Modus merger.
Merge Games,Publishers / platforms,Liverpool / Widnes (UK),2011,small/medium,indie publishing,https://www.mergegames.com,info@mergegames.com (general); press@mergegames.com (press),publish,Forever Skies publishing eras; Merge Games indie; UK publishing; multi-platform; indie publishing; various indie/AA,unknown,office,independent,UK indie publishing.
Modus Games,Publishers / platforms,Galveston / global,2018 (Maximum legacy),~100+,AA publisher,https://www.modusgames.com,press@modusgames.com (press),publish,AA publishing slate; Remnant (early period); various AA,unknown,mixed,Maximum Entertainment,AA/multiplatform publishing.
NetherRealm Studios,Publishers / platforms,"Chicago, IL (USA)",2009 (Midway legacy),~200–300,MK / Injustice,https://www.netherrealm.com,press@warnerbros.com (press),fighting,Mortal Kombat 1; Mortal Kombat 11; Injustice 2; Injustice; Mortal Kombat,unknown,office,Warner Bros. Games,Mortal Kombat / Injustice fighting-game specialist.
New Blood Interactive,Publishers / platforms,USA,2014,small,retro FPS publishing,https://newblood.games,press@newblood.games (press),indie publishing / FPS,ULTRAKILL; Faith; Amid Evil; Dusk (publish); Dusk,unknown,remote,independent,Boomer shooter wave.
Nintendo Publishing,Publishers / platforms,Kyoto (Japan),—,Nintendo,first-party + third,https://www.nintendo.com,press@noa.nintendo.com (press),publish,Nintendo first/third-party Switch publishing; Mario; Zelda; third-party Switch,—,—,Nintendo,Nintendo publishing umbrella.
NIS America,Publishers / platforms,California (USA),2003,~50-100,JRPG western publishing,https://www.nisamerica.com,press@nisamerica.com (press),publish,NIS America publishing slate; Disgaea west; VN/JRPG,unknown,office,Nippon Ichi,JRPG/VN western publishing.
Panic,Publishers / platforms,"Portland, OR (USA)",1997,~50–100,software + game publishing,https://panic.com,unknown,indie publishing; Mac software,Firewatch; Untitled Goose Game (publish); Playdate; Untitled Goose Game,unknown,hybrid,independent,Playdate hardware + curated game.
Paradox Arc,Publishers / platforms,Stockholm (Sweden),2021,Inside Paradox,niche strategy publisher,https://www.paradoxinteractive.com,pr@paradoxinteractive.com (press),publish,Star Trek: Infinite; Cities: Skylines II partners; Paradox Arc third-party; strategy publishing; Paradox partner publishing; third-party strategy/sim,unknown,hybrid,Paradox Interactive,Paradox partner-publishing label for third-party strategy/sim.
